item	n_subjects	min	median	max	mean	sd
MRI score at baseline, scale 0–80	58	0	4	65	7.3	10.8
MRI score at 2-year followup, scale 0–80	47	0	4	80	9.2	13.5
MRI progression	47	1	1	15	2.4	3.3
Radiographic score at baseline, scale 0–150	59	0	4	96	11.7	19.4
Radiographic score at 2-year followup, scale 0–150	52	0	8.5	101	16.3	21.9
Radiographic progression	52	0	0	31	3.2	6.2
IL-1	56	0	182.8	749.4	196.2	135.4
TNFa	56	33.4	945.6	3189.3	1198.7	737.8
IL-10	56	65.3	981.1	5988.3	1348.2	1060.1
IL-17	54	0	0	372.1	27.4	70.3
RANKL	56	0	157.2	5951.3	363.5	852.2
IFNg	56	0	7.1	78.1	14.1	16.4
IL-16	51	557.9	4182.6	11404.6	4772.2	2428.3
Histology (modified Rooney score), scale 0–40	55	5	16.3	24.3	16	4.4
Age, years	60	32.8	59	83.7	58.8	13.2
Disease duration, years	60	0.1	4.1	29.7	6	5.9
TJC, 0–28 joints	60	0	8	28	10	7.2
SJC, 0–28 joints	60	0	8.5	23	8.2	5.4
ESR, mm/hour	60	0	26	90	36.4	25.6
CRP level, mg/liter	60	0	6.6	88	17.6	21.8
HAQ score, scale 0–3	60	0	1.3	2.8	1.2	0.7
VAS pain score, 0–100 mm	60	0	47.5	100	44.8	28.1
